item,sentence,condition,target,context_had
1,The murder had been witnessing by the three bystanders.,reversed,witnessing,The murder had been
1,The murder had been witnessed in the dark.,canonical,witnessed,The murder had been
1,The bystanders had been witnessing the crime.,high-cloze,witnessing,The bystanders had been
1,The unpleasant cough syrup was witnessing in the dark.,low-cloze,witnessing,The unpleasant cough syrup was
2,Patty's overgrown lawn was mowing the boy next door.,reversed,mowing,Patty's overgrown lawn was
2,Patty's overgrown lawn was mowed only last week.,canonical,mowed,Patty's overgrown lawn was
2,Patty's teenage son was mowing the lawn.,high-cloze,mowing,Patty's teenage son was
2,All of her money had been mowing the grass.,low-cloze,mowing,All of her money had been
3,Three more martinis were ordering by Laurie's sister.,reversed,ordering,Three more martinis were
3,Three more martinis were ordered repeatedly.,canonical,ordered,Three more martinis were
3,"The regular customers were ordering quiche, as usual.",high-cloze,ordering,The regular customers were
3,The rough part of the wood was ordering late.,low-cloze,ordering,The rough part of the wood was
4,The quality of Karla's work was evaluating frequently.,reversed,evaluating,The quality of Karla's work was
4,The quality of Karla's work was evaluated frequently.,canonical,evaluated,The quality of Karla's work was
4,The engineers were evaluating the success of the new device.,high-cloze,evaluating,The engineers were
4,The old lady's purse had been evaluating Nelson's idea.,low-cloze,evaluating,The old lady's purse had been
5,The legal contract had been signing falsely.,reversed,signing,The legal contract had been
5,The legal contract had been signed by the family.,canonical,signed,The legal contract had been
5,The state's governor had been signing new legislation.,high-cloze,signing,The state's governor had been
5,An appointment was signing falsely.,low-cloze,signing,An appointment was
6,The vocabulary list was memorizing well.,reversed,memorizing,The vocabulary list was
6,The vocabulary list was memorized well.,canonical,memorized,The vocabulary list was
6,The medical students were memorizing sample exam questions all night.,high-cloze,memorizing,The medical students were
6,The simple coffin was memorizing the lines of the poem.,low-cloze,memorizing,The simple coffin was
7,The firewood had been chopping poorly.,reversed,chopping,The firewood had been
7,The firewood had been chopped by Jen's grandfather.,canonical,chopped,The firewood had been
7,Jen's grandfather had been chopping the firewood.,high-cloze,chopping,Jen's grandfather had been
7,Mark's wrinkly shirts were chopping vegetables.,low-cloze,chopping,Mark's wrinkly shirts were
8,Lisa's phone had been disconnecting last month.,reversed,disconnecting,Lisa's phone had been
8,Lisa's phone had been disconnected last month.,canonical,disconnected,Lisa's phone had been
8,The electrician had been disconnecting the machine's power source.,high-cloze,disconnecting,The electrician had been
8,Mother Theresa's death was disconnecting the two cables.,low-cloze,disconnecting,Mother Theresa's death was
9,Wendy's muddy car was washing the boys.,reversed,washing,Wendy's muddy car was
9,Wendy's muddy car was washed wearily.,canonical,washed,Wendy's muddy car was
9,Wendy and Harriet were washing the muddy car.,high-cloze,washing,Wendy and Harriet were
9,Frank's loan application had been washing the used pencil.,low-cloze,washing,Frank's loan application had been
10,The library books had been borrowing the graduate student.,reversed,borrowing,The library books had been
10,The library books had been borrowed by the graduate student.,canonical,borrowed,The library books had been
10,Katie and Lara had been borrowing dozens of books about botany from the library.,high-cloze,borrowing,Katie and Lara had been
10,The tragic mistake was borrowing in a hurry.,low-cloze,borrowing,The tragic mistake was
11,"The dark, underwater cave was exploring by the divers.",reversed,exploring,"The dark, underwater cave was"
11,"The dark, underwater cave was explored by the divers.",canonical,explored,"The dark, underwater cave was"
11,The cautious scuba divers were exploring the underwater cave.,high-cloze,exploring,The cautious scuba divers were
11,The phone bill had been exploring at the zoo.,low-cloze,exploring,The phone bill had been
12,The unpleasant cough syrup was swallowing the boy.,reversed,swallowing,The unpleasant cough syrup was
12,The unpleasant cough syrup was swallowed by the boy.,canonical,swallowed,The unpleasant cough syrup was
12,The huge adult alligator had been swallowing fish by the bucket.,high-cloze,swallowing,The huge adult alligator had been
12,The murder had been swallowing with disgust.,low-cloze,swallowing,The murder had been
13,The pizza had been delivering once more.,reversed,delivering,The pizza had been
13,The pizza had been delivered by Antonio himself.,canonical,delivered,The pizza had been
13,The exhausted messenger had been delivering packages all over town.,high-cloze,delivering,The exhausted messenger had been
13,A genetic mutation was delivering once more.,low-cloze,delivering,A genetic mutation was
14,Frank's loan application had been approving by the bank.,reversed,approving,Frank's loan application had been
14,Frank's loan application had been approved anyways.,canonical,approved,Frank's loan application had been
14,The board of directors had been approving too many expensive projects.,high-cloze,approving,The board of directors had been
14,Wendy's muddy car was approving the boy's request.,low-cloze,approving,Wendy's muddy car was
15,The cheap products had been manufacturing a Belgian firm.,reversed,manufacturing,The cheap products had been
15,The cheap products had been manufactured by a Belgian firm.,canonical,manufactured,The cheap products had been
15,The auto company had been manufacturing parts in China.,high-cloze,manufacturing,The auto company had been
15,A drawing of the house had been manufacturing at a factory.,low-cloze,manufacturing,A drawing of the house had been
16,Their secret conversation had been overhearing by a surprised neighbor.,reversed,overhearing,Their secret conversation had been
16,Their secret conversation had been overheard by a surprised neighbor.,canonical,overheard,Their secret conversation had been
16,The annoyed resident had been overhearing his neighbor's phone conversations through the wall.,high-cloze,overhearing,The annoyed resident had been
16,A wet snowball had been overhearing despite the precautions.,low-cloze,overhearing,A wet snowball had been
17,The rough part of the wood was sanding to perfection.,reversed,sanding,The rough part of the wood was
17,The rough part of the wood was sanded by the carpenter.,canonical,sanded,The rough part of the wood was
17,The skillful carpenter was sanding the rough edge of the wood.,high-cloze,sanding,The skillful carpenter was
17,Three more martinis were sanding the chair.,low-cloze,sanding,Three more martinis were
18,A package had been receiving by the secretary in the office.,reversed,receiving,A package had been
18,A package had been received by the secretary in the office.,canonical,received,A package had been
18,The secretary had been receiving flowers all day.,high-cloze,receiving,The secretary had been
18,The noises in the attic had been receiving assistance from the government.,low-cloze,receiving,The noises in the attic had been
19,The club's rules had been violating Richard.,reversed,violating,The club's rules had been
19,The club's rules had been violated only twice.,canonical,violated,The club's rules had been
