,sentence,item,type,condition,patient,agent,context_had,target,patient_pos,agent_pos,target_pos
0,The aquarium visitor wondered which fish the penguins had eaten during the performance.,1,substitution,high-cloze,fish,penguins,The aquarium visitor wondered which fish the penguins had,eaten,5,7,9
1,The aquarium visitor wondered which trainer the penguins had eaten during the performance. ,1,substitution,low-cloze,trainer,penguins,The aquarium visitor wondered which trainer the penguins had,eaten,5,7,9
2,The storyteller explained which dragon the prince had slain with his sword.,2,substitution,high-cloze,dragon,prince,The storyteller explained which dragon the prince had,slain,4,6,8
3,The storyteller explained which princess the prince had slain with his sword.,2,substitution,low-cloze,princess,prince,The storyteller explained which princess the prince had,slain,4,6,8
4,The superintendent overheard which tenant the landlord had evicted at the end of May.,3,substitution,high-cloze,tenant,landlord,The superintendent overheard which tenant the landlord had,evicted,4,6,8
5,The superintendent overheard which realtor the landlord had evicted at the end of May.,3,substitution,low-cloze,realtor,landlord,The superintendent overheard which realtor the landlord had,evicted,4,6,8
6,The butler speculated which guests the master had invited to the party.,4,substitution,high-cloze,guests,master,The butler speculated which guests the master had,invited,4,6,8
7,The butler speculated which servants the master had invited to the party.,4,substitution,low-cloze,servants,master,The butler speculated which servants the master had,invited,4,6,8
8,The priest mentioned which nonbeliever the nun had converted on her mission trip.,5,substitution,high-cloze,nonbeliever,nun,The priest mentioned which nonbeliever the nun had,converted,4,6,8
9,The priest mentioned which archbishop the nun had converted on her mission trip.,5,substitution,low-cloze,archbishop,nun,The priest mentioned which archbishop the nun had,converted,4,6,8
10,The sheriff boasted which horse the cowboy had ridden across the town.,6,substitution,high-cloze,horse,cowboy,The sheriff boasted which horse the cowboy had,ridden,4,6,8
11,The sheriff boasted which bandit the cowboy had ridden across the town.,6,substitution,low-cloze,bandit,cowboy,The sheriff boasted which bandit the cowboy had,ridden,4,6,8
12,Mr. Stevens revealed which clerk the manager had fired for being lazy.,7,substitution,high-cloze,clerk,manager,Mr. Stevens revealed which clerk the manager had,fired,4,6,8
13,Mr. Stevens revealed which customer the manager had fired for being lazy.,7,substitution,low-cloze,customer,manager,Mr. Stevens revealed which customer the manager had,fired,4,6,8
14,The secret serviceman concealed which ex-president the agent had protected from the terrorists. ,8,substitution,high-cloze,ex-president,agent,The secret serviceman concealed which ex-president the agent had,protected,5,7,9
15,The secret serviceman concealed which assassin the agent had protected from the terrorists.,8,substitution,low-cloze,assassin,agent,The secret serviceman concealed which assassin the agent had,protected,5,7,9
16,The Roman emperor asked which god the gladiator had worshipped for strength in battle.,9,substitution,high-cloze,god,gladiator,The Roman emperor asked which god the gladiator had,worshipped,5,7,9
17,The Roman emperor asked which adversary the gladiator had worshipped for strength in battle. ,9,substitution,low-cloze,adversary,gladiator,The Roman emperor asked which adversary the gladiator had,worshipped,5,7,9
18,The author revealed which maiden the hero had saved from the tower.,10,substitution,high-cloze,maiden,hero,The author revealed which maiden the hero had,saved,4,6,8
19,The author revealed which ogre the hero had saved from the tower.,10,substitution,low-cloze,ogre,hero,The author revealed which ogre the hero had,saved,4,6,8
20,The columnist publicized which billionaire the supermodel had married on public television. ,11,substitution,high-cloze,billionaire,supermodel,The columnist publicized which billionaire the supermodel had,married,4,6,8
21,The columnist publicized which stylist the supermodel had married on public television.,11,substitution,low-cloze,stylist,supermodel,The columnist publicized which stylist the supermodel had,married,4,6,8
22,The Iranian scholar researched which camels the Persians had ridden across the desert.,12,substitution,high-cloze,camels,Persians,The Iranian scholar researched which camels the Persians had,ridden,5,7,9
23,The Iranian scholar researched which soldiers the Persians had ridden across the desert.,12,substitution,low-cloze,soldiers,Persians,The Iranian scholar researched which soldiers the Persians had,ridden,5,7,9
24,The beggar saw which leper the saint had cured in the street.,13,substitution,high-cloze,leper,saint,The beggar saw which leper the saint had,cured,4,6,8
25,The beggar saw which prophet the saint had cured in the street.,13,substitution,low-cloze,prophet,saint,The beggar saw which prophet the saint had,cured,4,6,8
26,The historian recorded which patriot the king had knighted at the ceremony.,14,substitution,high-cloze,patriot,king,The historian recorded which patriot the king had,knighted,4,6,8
27,The historian recorded which traitor the king had knighted at the ceremony.,14,substitution,low-cloze,traitor,king,The historian recorded which traitor the king had,knighted,4,6,8
28,The monk recalled which sinner the priest had forgiven in church yesterday.,15,substitution,high-cloze,sinner,priest,The monk recalled which sinner the priest had,forgiven,4,6,8
29,The monk recalled which cardinal the priest had forgiven in church yesterday.,15,substitution,low-cloze,cardinal,priest,The monk recalled which cardinal the priest had,forgiven,4,6,8
30,The scientist noted which antelope the lion had eaten for his dinner.,16,substitution,high-cloze,antelope,lion,The scientist noted which antelope the lion had,eaten,4,6,8
31,The scientist noted which cub the lion had eaten for his dinner.,16,substitution,low-cloze,cub,lion,The scientist noted which cub the lion had,eaten,4,6,8
32,The secretary confirmed which illustrator the author had hired for the new book.,17,substitution,high-cloze,illustrator,author,The secretary confirmed which illustrator the author had,hired,4,6,8
33,The secretary confirmed which readers the author had hired for the new book.,17,substitution,low-cloze,readers,author,The secretary confirmed which readers the author had,hired,4,6,8
34,The stenographer recorded which defendant the judge had sentenced to fifteen years.,18,substitution,high-cloze,defendant,judge,The stenographer recorded which defendant the judge had,sentenced,4,6,8
