item,sentence,condition,target,context_had,gpt2_surprisal,gpt2-medium_surprisal,gpt2-large_surprisal,bert-base-uncased_surprisal,bert-large-uncased_surprisal,roberta-base_surprisal,roberta-large_surprisal
1,the murder had been witnessing by the three bystanders.,reversed,witnessing,The murder had been,17.032390594482422,17.68232536315918,17.735628128051758,12.68873119354248,16.44826316833496,12.454991340637209,13.696505546569824
1,the murder had been witnessed in the dark.,canonical,witnessed,The murder had been,9.351354598999023,7.515867233276367,7.476137638092041,10.317715644836426,12.626176834106444,9.94714641571045,10.859579086303711
1,the bystanders had been witnessing the crime.,high-cloze,witnessing,The bystanders had been,12.209909439086914,10.13211727142334,11.381598472595217,7.504714965820312,5.092787265777588,2.479640245437622,2.7059171199798584
1,the unpleasant cough syrup was witnessing in the dark.,low-cloze,witnessing,The unpleasant cough syrup was,21.143993377685547,18.651460647583008,19.4302921295166,21.687793731689453,22.17009353637696,22.798236846923828,20.927783966064453
2,patty's overgrown lawn was mowing the boy next door.,reversed,mowing,Patty's overgrown lawn was,14.274152755737305,14.207726001739502,14.39586305618286,1.2030434608459473,0.3266679644584656,1.252030961215496,4.356565356254578
2,patty's overgrown lawn was mowed only last week.,canonical,mowed,Patty's overgrown lawn was,9.28681018948555,9.651468187570572,9.278355449438097,0.1749792788177728,0.0499657755717635,0.0100217729341238,0.012839536648243666
2,patty's teenage son was mowing the lawn.,high-cloze,mowing,Patty's teenage son was,15.492307186126707,15.066962242126465,14.60220980644226,0.0848878861870616,0.0011061924160458,0.0020747986854985,0.001849157444667071
2,all of her money had been mowing the grass.,low-cloze,mowing,All of her money had been,23.96979141235352,22.81926345825196,20.61082553863525,0.7269775420427322,0.0543355111731216,0.2350686434656381,0.07359756622463465
3,three more martinis were ordering by laurie's sister.,reversed,ordering,Three more martinis were,15.89273738861084,15.732830047607422,14.728730201721191,13.468791961669922,14.631526947021484,16.636369705200195,17.776424407958984
3,three more martinis were ordered repeatedly.,canonical,ordered,Three more martinis were,4.946595191955566,3.839775562286377,3.78525972366333,3.7424662113189697,2.880703926086426,1.1484121084213257,3.724186658859253
3,"the regular customers were ordering quiche, as usual.",high-cloze,ordering,The regular customers were,11.66140365600586,12.60439682006836,12.439440727233888,7.27490758895874,9.29308795928955,6.380333423614502,4.258956432342529
3,the rough part of the wood was ordering late.,low-cloze,ordering,The rough part of the wood was,19.11491584777832,18.63248443603516,19.46378898620605,21.82149314880371,22.31689453125,23.449613571166992,17.873857498168945
4,the quality of karla's work was evaluating frequently.,reversed,evaluating,The quality of Karla's work was,19.43661499023437,19.257951736450195,19.590965270996094,14.792265892028809,12.238489151000977,18.74806404113769,20.07216453552246
4,the quality of karla's work was evaluated frequently.,canonical,evaluated,The quality of Karla's work was,11.127360343933104,11.310349464416504,12.213753700256348,8.841808319091797,6.4012837409973145,8.374346733093262,7.848638534545898
4,the engineers were evaluating the success of the new device.,high-cloze,evaluating,The engineers were,12.162161827087402,12.115283012390137,12.15224838256836,9.233993530273438,7.254799365997314,8.694045066833496,8.64673137664795
4,the old lady's purse had been evaluating nelson's idea.,low-cloze,evaluating,The old lady's purse had been,25.919342041015625,23.417686462402344,22.30965614318848,20.156816482543945,16.584239959716797,23.99956321716309,21.606172561645508
5,the legal contract had been signing falsely.,reversed,signing,The legal contract had been,11.948991775512695,12.016122817993164,12.576122283935549,16.090242385864258,12.517071723937988,11.755934715270996,15.658379554748535
5,the legal contract had been signed by the family.,canonical,signed,The legal contract had been,1.779560923576355,1.6188052892684937,2.290795087814331,0.9661310911178588,1.0854032039642334,2.9610238075256348,1.3761253356933594
5,the state's governor had been signing new legislation.,high-cloze,signing,The state's governor had been,11.945182800292969,13.100785255432127,12.908025741577148,6.994152069091797,10.28447437286377,7.230233192443848,7.469963073730469
5,an appointment was signing falsely.,low-cloze,signing,An appointment was,17.18700408935547,19.75041007995605,17.802297592163086,19.65076446533203,20.525001525878903,20.54912757873535,19.133827209472656
6,the vocabulary list was memorizing well.,reversed,memorizing,The vocabulary list was,23.23260498046875,23.10484981536865,23.5416955947876,0.0712393424473702,0.0665146356914192,19.200544357299805,13.261799812316895
6,the vocabulary list was memorized well.,canonical,memorized,The vocabulary list was,14.532374635338783,14.006281226873398,15.178363412618635,0.0027737361961044,0.0003742342523764,2.1093135438859463,3.1690430864691734
6,the medical students were memorizing sample exam questions all night.,high-cloze,memorizing,The medical students were,21.139304637908936,17.902390956878662,18.739747911691666,0.0033378392399754,0.0422416909400453,0.1554695647209882,0.09168188460171223
6,the simple coffin was memorizing the lines of the poem.,low-cloze,memorizing,The simple coffin was,29.25797939300537,24.938082695007324,26.55774974822998,0.0024297709023812,0.0574614688655401,5.164507031440735,7.096251681447029
7,the firewood had been chopping poorly.,reversed,chopping,The firewood had been,15.692599296569824,13.8951416015625,13.996851921081545,1.608544081449509,4.152588605880737,10.905440330505373,10.811732292175293
7,the firewood had been chopped by jen's grandfather.,canonical,chopped,The firewood had been,8.749343872070312,7.089174270629883,7.622915744781494,9.69806957244873,9.764280319213867,11.28989028930664,4.73015022277832
7,jen's grandfather had been chopping the firewood.,high-cloze,chopping,Jen's grandfather had been,14.72490692138672,14.92924976348877,15.310750007629396,0.0281446166336536,0.0118956958849594,5.473434448242188,3.861750602722168
7,mark's wrinkly shirts were chopping vegetables.,low-cloze,chopping,Mark's wrinkly shirts were,17.67223358154297,19.001039505004883,18.40947151184082,0.0941034015268087,0.0741148913220968,12.061859130859377,18.087160110473633
8,lisa's phone had been disconnecting last month.,reversed,disconnecting,Lisa's phone had been,17.92590844631195,16.739773154258728,17.936544477939606,0.8944941179870511,2.789030242463923,8.084307432174683,12.54667615890503
8,lisa's phone had been disconnected last month.,canonical,disconnected,Lisa's phone had been,5.73735237121582,7.116911888122559,7.340947151184082,5.706121444702148,3.612897396087648,5.626163482666016,8.671051979064941
8,the electrician had been disconnecting the machine's power source.,high-cloze,disconnecting,The electrician had been,18.533015958964825,19.020168986171484,18.102687608916312,0.0021738607320003,0.0044055075122741,1.8099234066903591,0.7829310836386867
8,mother theresa's death was disconnecting the two cables.,low-cloze,disconnecting,Mother Theresa's death was,24.6881560087204,25.00319230556488,23.49454498291016,0.0099777451250702,0.0647700449917465,5.238043904304504,4.997645311057568
9,wendy's muddy car was washing the boys.,reversed,washing,Wendy's muddy car was,12.44569969177246,11.265727996826172,11.335041046142578,10.514985084533691,13.911442756652832,9.287508964538574,16.53795051574707
9,wendy's muddy car was washed wearily.,canonical,washed,Wendy's muddy car was,8.720593452453613,7.42115306854248,7.184847831726074,14.275019645690918,10.367132186889648,7.71586275100708,9.062044143676758
9,wendy and harriet were washing the muddy car.,high-cloze,washing,Wendy and Harriet were,14.145889282226562,13.687958717346191,13.400153160095217,12.490225791931152,11.637059211730955,3.819332838058472,6.7616424560546875
9,frank's loan application had been washing the used pencil.,low-cloze,washing,Frank's loan application had been,23.02810859680176,21.98793601989746,22.264009475708008,24.105457305908203,19.49140357971192,22.682218551635746,20.657201766967773
10,the library books had been borrowing the graduate student.,reversed,borrowing,The library books had been,15.75638484954834,14.89848518371582,14.1740083694458,21.194313049316406,20.475566864013672,14.690776824951172,10.430832862854004
10,the library books had been borrowed by the graduate student.,canonical,borrowed,The library books had been,10.471305847167969,7.917806148529053,7.477957725524902,7.94896125793457,4.285050868988037,4.902884006500244,2.8674213886260986
10,katie and lara had been borrowing dozens of books about botany from the library.,high-cloze,borrowing,Katie and Lara had been,12.829619407653809,14.679536819458008,14.929088592529297,4.6918134689331055,3.2483930587768555,1.3043714761734009,0.4437757730484009
10,the tragic mistake was borrowing in a hurry.,low-cloze,borrowing,The tragic mistake was,19.370397567749023,18.330724716186523,17.065467834472656,25.04877471923828,24.77289772033692,28.76011657714844,26.238311767578125
11,"the dark, underwater cave was exploring by the divers.",reversed,exploring,"The dark, underwater cave was",14.963811874389648,16.02248764038086,15.00206184387207,11.716039657592772,10.969897270202637,13.820778846740724,13.581027030944824
11,"the dark, underwater cave was explored by the divers.",canonical,explored,"The dark, underwater cave was",9.874082565307615,11.393396377563477,9.479355812072754,3.515244245529175,2.2576217651367188,2.399111270904541,3.130469560623169
11,the cautious scuba divers were exploring the underwater cave.,high-cloze,exploring,The cautious scuba divers were,12.054052352905272,10.424283981323242,11.813446044921877,5.059045791625977,3.101672649383545,1.9178156852722168,1.6516773700714111
11,the phone bill had been exploring at the zoo.,low-cloze,exploring,The phone bill had been,17.96219825744629,15.871142387390137,15.204713821411133,20.60813331604004,24.210840225219727,22.79353141784668,21.92317008972168
12,the unpleasant cough syrup was swallowing the boy.,reversed,swallowing,The unpleasant cough syrup was,13.44517993927002,13.302288055419922,14.63218593597412,13.749520301818848,12.397549629211426,10.213152885437012,8.707809448242188
12,the unpleasant cough syrup was swallowed by the boy.,canonical,swallowed,The unpleasant cough syrup was,9.447135925292969,9.264806747436523,9.574274063110352,3.0589232444763184,3.0432536602020264,0.7415286302566528,1.8446171283721924
12,the huge adult alligator had been swallowing fish by the bucket.,high-cloze,swallowing,The huge adult alligator had been,13.06940460205078,12.02151584625244,13.653985977172852,8.153257369995117,8.518012046813965,10.712276458740234,6.462464332580566
12,the murder had been swallowing with disgust.,low-cloze,swallowing,The murder had been,21.74134826660156,18.613828659057617,22.12552070617676,19.164522171020508,22.672531127929688,21.584383010864254,22.41685676574707
13,the pizza had been delivering once more.,reversed,delivering,The pizza had been,13.22258758544922,12.805041313171388,12.206175804138184,11.857419967651367,11.521772384643556,13.195032119750977,14.32304573059082
13,the pizza had been delivered by antonio himself.,canonical,delivered,The pizza had been,5.224398136138916,4.818298816680908,4.678479671478272,2.431986093521118,2.862294912338257,3.5665624141693115,4.42932653427124
13,the exhausted messenger had been delivering packages all over town.,high-cloze,delivering,The exhausted messenger had been,11.628052711486816,10.937281608581545,10.22445297241211,3.1729657649993896,1.2050012350082395,1.1302975416183472,0.07397730648517609
13,a genetic mutation was delivering once more.,low-cloze,delivering,A genetic mutation was,20.1745719909668,19.892553329467773,19.61073112487793,17.93412208557129,18.68907928466797,26.56256675720215,21.308353424072266
14,frank's loan application had been approving by the bank.,reversed,approving,Frank's loan application had been,15.6213960647583,14.747735023498535,16.03376007080078,1.5846398356370628,1.829245944158174,20.88597297668457,19.69871711730957
14,frank's loan application had been approved anyways.,canonical,approved,Frank's loan application had been,3.2193832397460938,3.684556245803833,2.921213388442993,5.727516174316406,3.0829555988311768,4.144649982452393,4.931868076324463
14,the board of directors had been approving too many expensive projects.,high-cloze,approving,The board of directors had been,13.55951976776123,11.111641883850098,10.881107330322266,0.0072975679067894,0.0015272059899871,2.028993606567383,4.763325214385986
