Unnamed: 0,sentence,item,type,condition,patient,agent,context_had,target,item_num_original,gpt2_surprisal,gpt2-medium_surprisal,gpt2-large_surprisal,bert-base-uncased_surprisal,bert-large-uncased_surprisal,roberta-base_surprisal,roberta-large_surprisal
0,the aquarium visitor wondered which fish the penguins had eaten from the large bucket.,1,reversal,canonical,fish,penguins,The aquarium visitor wondered which fish the penguins had,eaten,1,3.4472477436065674,2.1689627170562744,3.555229425430298,4.858761787414551,5.063289165496826,5.204566478729248,3.544724702835083
1,the aquarium visitor wondered which penguins the fish had eaten from the large bucket.,1,reversal,reversed,penguins,fish,The aquarium visitor wondered which penguins the fish had,eaten,1,3.600672721862793,2.7874398231506348,3.705235481262207,5.629554748535156,3.8962490558624254,5.948395729064941,2.448174476623535
2,the aquarium visitor wondered which fish the penguins had swum from through the cold water.,1,alternative,alt_reversed,fish,penguins,The aquarium visitor wondered which fish the penguins had,swum from,1,22.04048156738281,17.492721140384674,18.68659245967865,7.745210498571396,8.420758484164253,11.694732293486595,11.626874812878668
3,the aquarium visitor wondered which penguins the fish had swum from through the cold water.,1,alternative,alt_canonical,penguins,fish,The aquarium visitor wondered which penguins the fish had,swum from,1,20.331166744232178,17.98504889011383,16.835087537765503,7.534204393625259,7.562013853224926,10.952763587236404,9.322983844205737
4,the superintendent overheard which tenant the landlord had evicted from the apartment.,2,reversal,canonical,tenant,landlord,The superintendent overheard which tenant the landlord had,evicted,2,7.79185436014086,7.724668228533119,9.403072031447664,1.3873083591461182,0.1693272441625595,0.002784743119264,8.80551187947276e-05
5,the superintendent overheard which landlord the tenant had evicted from the apartment.,2,reversal,reversed,landlord,tenant,The superintendent overheard which landlord the tenant had,evicted,2,8.422130290418863,9.44693811610341,9.198826876934618,2.396336078643799,0.1437940001487732,0.0019922470091842,0.00012657922843573033
6,the superintendent overheard which tenant the landlord had complained about for overcharging rent.,2,alternative,alt_reversed,tenant,landlord,The superintendent overheard which tenant the landlord had,complained about,2,8.006532549858093,8.126174688339233,7.592537999153137,3.246197283267975,3.5831305980682373,2.386618345975876,0.4550633542239666
7,the superintendent overheard which landlord the tenant had complained about for overcharging rent.,2,alternative,alt_canonical,landlord,tenant,The superintendent overheard which landlord the tenant had,complained about,2,7.783566176891327,6.567755818367004,8.520244002342224,3.613748997449875,4.915447324514389,3.932791918516159,0.8217248264700174
8,the roman emperor asked which god the gladiator had prayed to before the dangerous fight.,3,reversal,canonical,god,gladiator,The Roman emperor asked which god the gladiator had,prayed to,3,12.473381996154783,6.719106137752533,6.310479670763016,3.092270016670227,0.24009052477777,0.396779116243124,0.06081306375563145
9,the roman emperor asked which gladiator the god had prayed to before the dangerous fight.,3,reversal,reversed,gladiator,god,The Roman emperor asked which gladiator the god had,prayed to,3,15.234856009483336,10.672970712184906,11.032515347003937,9.60117506980896,6.214358925819397,5.639020681381226,3.8062374591827393
